,Plot,height_95p,canopy_cover_50p,canopy_cover_75p,plot_volume2,VCI,CAP,LPI,NDVI705,GNDVI,EVI,VOG2,MCARI2,MTVI,PBI,EVI2,GDD,Datt3,DCNI,LAI,PREC,date,hybrid_or_inbred,pedigree,nitrogen_treatment
77,706,0.983,46.69,23.63,0.477496845,0.736972804,88.75334071,0.000504006,0.602835,0.660305,0.46852,-0.289755,0.73171,0.5652,6.786335,0.587885,1012,4.97586,33.48756,2.169,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
78,707,1.052,54.74,26.68,0.68308238,0.871545339,88.43354976,0.000465915,0.638195,0.690755,0.500625,-0.320615,0.76812,0.585255,7.690965,0.61009,1012,5.623575,34.65195,2.733,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,95
79,708,0.908,40.6,19.14,0.568409006,0.73223099,88.92941765,0.000424982,0.58258,0.6474,0.44583,-0.253415,0.69143,0.53644,6.23281,0.561735,1012,4.629025,32.165035,2.457,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
80,709,0.898,38.54,17.92,0.447933115,0.756715624,88.72646113,0.000456677,0.5784,0.644835,0.44505,-0.264455,0.69261,0.54017,6.355225,0.564675,1012,4.63125,32.63362,1.038,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,255
81,710,0.983,46.48,23.09,0.366571891,0.791219648,88.73137831,0.000499339,0.616845,0.678155,0.48309,-0.30389,0.75766,0.575385,7.19293,0.60187,1012,5.195875,33.41208,2.377,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
82,711,1.055,51.54,22.38,0.624589233,0.700938017,87.83338583,0.000463858,0.62489,0.67946,0.48172,-0.316545,0.74824,0.565215,7.35167,0.593225,1012,5.386045,35.587475,2.421,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,215
83,712,1.102,53.68,24.39,0.9353415,0.776325393,89.69350223,0.000426894,0.650075,0.701095,0.504205,-0.346355,0.773355,0.57632,8.08213,0.60869,1012,5.915215,36.9882,2.255,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
84,713,0.9645,44.22,19.88,0.407848397,0.755237087,87.38052361,0.000467713,0.59907,0.659215,0.47574,-0.277655,0.73402,0.57648,6.67584,0.595895,1012,4.933495,31.63476,2.046,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,95
85,714,0.925,41.07,19.49,0.531649371,0.800047764,87.71868407,0.000477978,0.583415,0.65135,0.445415,-0.266315,0.689835,0.53272,6.456015,0.56122,1012,4.69836,32.33056,1.917,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
86,801,0.8365,32.5,12.62,0.173190389,0.713001031,84.66222396,0.000532948,0.55194,0.62376,0.40065,-0.232725,0.627055,0.47032,5.817765,0.508845,1012,4.26077,32.07402,2.205,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,135
87,802,1.0003,46.16,20.89,0.291650627,0.722400622,78.4977016,0.000554888,0.601575,0.672045,0.42942,-0.288705,0.67635,0.47207,7.0834,0.523925,1012,5.03548,35.881865,1.959,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
88,803,1.096,55.84,27.66,0.283402799,0.806714763,89.53186417,0.000570166,0.63934,0.69661,0.40497,-0.334645,0.68941,0.407955,7.79428,0.478655,1012,5.54103,42.79676,1.815,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,255
89,804,1.043,51.39,25.8,0.407543459,0.779911046,88.36777094,0.00053382,0.627635,0.689875,0.39879,-0.32344,0.66892,0.40548,7.54295,0.47463,1012,5.35742,42.145135,2.516,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
90,805,0.919625,43.24,21.1,0.464426576,0.635955571,88.68557714,0.00050096,0.587515,0.65113,0.44199,-0.26459,0.6907,0.51676,6.56514,0.55073,1012,4.80611,32.89728,2.411,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,215
91,806,0.885,38.98,18.72,0.156653223,0.658359369,86.10230079,0.000571483,0.57608,0.64687,0.43197,-0.25666,0.675445,0.506785,6.34674,0.54336,1012,4.5814,32.245905,2.554,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
92,807,0.939,40.88,19.79,0.116658544,0.705605787,86.21881524,0.000584333,0.588685,0.651565,0.449435,-0.27789,0.70396,0.540985,6.55098,0.568295,1012,4.76482,33.465895,1.8,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,175
93,808,0.9275,40.95,16.56,0.307654718,0.774099815,83.6958319,0.000517833,0.56585,0.627515,0.44107,-0.20879,0.670035,0.533245,5.630235,0.55107,1012,4.28738,27.66857,1.719,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
94,809,0.6855,20.22,7.99,0.140296879,0.658704345,82.18111952,0.000425185,0.48226,0.55898,0.365465,-0.144375,0.544735,0.473195,4.270025,0.486215,1012,3.25953,23.75657,1.878,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,0
95,810,0.873,34.88,13.42,0.343292616,0.779591095,79.14381926,0.000470067,0.57245,0.64015,0.419745,-0.265875,0.656025,0.4954,6.352385,0.530715,1012,4.60989,34.97626,1.618,92.964,20220624,for_nitrogen_treatment,for_nitrogen_treatment,
96,101,2.261193586,86.38,48.27,0.136428061,0.976918073,88.55195143,0.000931153,0.824345,0.800435,0.73354,-0.770855,0.9945,0.744255,13.864405,0.78846,1492,11.804775,38.21014,3.825,108.458,20220714,for_nitrogen_treatment,for_nitrogen_treatment,175
97,102,2.217693586,86.26,48.28,0.23904782,0.985302527,87.20493449,0.000910194,0.81536,0.79739,0.726245,-0.74529,0.99347,0.738765,13.6014,0.78294,1492,11.328375,39.080445,3.763,108.458,20220714,for_nitrogen_treatment,for_nitrogen_treatment,
98,103,2.116206206,84.94,47.45,0.226862835,0.989845556,84.04551109,0.000920563,0.82252,0.798545,0.712165,-0.739265,0.99364,0.708585,13.504515,0.76206,1492,11.68198,40.43842,3.538,108.458,20220714,for_nitrogen_treatment,for_nitrogen_treatment,135
99,104,2.142693586,86.0,50.86,0.230478875,0.990226581,87.16415148,0.000991264,0.819115,0.795275,0.71504,-0.728615,0.99591,0.716385,13.276045,0.766675,1492,11.467065,39.15187,3.757,108.458,20220714,for_nitrogen_treatment,for_nitrogen_treatment,
